Sr No,Dates,Average sale price
409,12-02-2021,18276.38118
410,13-02-2021,3330.6
411,14-02-2021,NA
412,15-02-2021,20175.28667
413,16-02-2021,4248.315
414,17-02-2021,NA
415,18-02-2021,4700.39
416,19-02-2021,3420.0625
417,20-02-2021,3183.233333
418,21-02-2021,3090.47
419,22-02-2021,3501.27
420,23-02-2021,2337.45
421,24-02-2021,2233
422,25-02-2021,2686.505
423,26-02-2021,NA
424,27-02-2021,2959.365
425,28-02-2021,2434.733333
426,01-03-2021,1006.78
427,02-03-2021,2086.565
428,03-03-2021,3262.67
429,04-03-2021,5382.486667
430,05-03-2021,5714.063333
431,06-03-2021,NA
432,07-03-2021,4134.717143
433,08-03-2021,3480.1
434,09-03-2021,13510.72
435,10-03-2021,NA
436,11-03-2021,11962.72
437,12-03-2021,19676.23455
438,13-03-2021,7490.803864
439,14-03-2021,7103.102609
440,15-03-2021,6989.674615
441,16-03-2021,6743.96
442,17-03-2021,6586.304286
443,18-03-2021,10854.56364
444,19-03-2021,8719.426
445,20-03-2021,8509.271429
446,21-03-2021,7008.231
447,22-03-2021,6639.706667
448,23-03-2021,6065.493333
449,24-03-2021,6653.893333
450,25-03-2021,7815.694
451,26-03-2021,5672.61125
452,27-03-2021,6888.093333
453,28-03-2021,13367.1
454,29-03-2021,9314.6
455,30-03-2021,7007.89
456,31-03-2021,8124.037143
457,01-04-2021,NA
458,02-04-2021,2059.49
459,03-04-2021,4225.5775
460,04-04-2021,8070.61
461,05-04-2021,6099.711765
462,06-04-2021,NA
463,07-04-2021,NA
464,08-04-2021,4830.176667
465,09-04-2021,7830
466,10-04-2021,7978.8
467,11-04-2021,8846.396
468,12-04-2021,13330.89625
469,13-04-2021,4610.52
470,14-04-2021,5419.53
471,15-04-2021,6851.575
472,16-04-2021,7363
473,17-04-2021,6687.945
474,18-04-2021,13502.8225
475,19-04-2021,8560.435714
476,20-04-2021,15476.13
477,21-04-2021,7309.86
478,22-04-2021,6239.045
479,23-04-2021,6050.878
480,24-04-2021,NA
481,25-04-2021,6553.715
482,26-04-2021,5873.15
483,27-04-2021,8798.428333
484,28-04-2021,7315.655
485,29-04-2021,6814.275
486,30-04-2021,10892.22
487,01-05-2021,1704.98
488,02-05-2021,NA
489,03-05-2021,3585.61
490,04-05-2021,8380.676667
491,05-05-2021,5414.622308
492,06-05-2021,6212.5
493,07-05-2021,3782.01
494,08-05-2021,3233.558571
495,09-05-2021,6756.88
496,10-05-2021,9074.2
497,11-05-2021,22268
498,12-05-2021,24929.87143
499,13-05-2021,7241.75
500,14-05-2021,6757.333333
501,15-05-2021,NA
502,16-05-2021,5040
503,17-05-2021,6651.53
504,18-05-2021,4674
505,19-05-2021,5006.5425
506,20-05-2021,4835.35
507,21-05-2021,3914.25
508,22-05-2021,3032.37
509,23-05-2021,3996.01
510,24-05-2021,4071.79
511,25-05-2021,4833.73
512,26-05-2021,3827.165
513,27-05-2021,3843.23
514,28-05-2021,4087.24
515,29-05-2021,NA
516,30-05-2021,3771.06
517,31-05-2021,5142.405
518,01-06-2021,NA
519,02-06-2021,2027.7
520,03-06-2021,4537.013333
521,04-06-2021,6215.7625
522,05-06-2021,5619.803333
523,06-06-2021,3155.759333
524,07-06-2021,NA
525,08-06-2021,NA
526,09-06-2021,5253
527,10-06-2021,NA
528,11-06-2021,9787.9
529,12-06-2021,18479.13857
530,13-06-2021,2836.103636
531,14-06-2021,4258.19
532,15-06-2021,5152.18
533,16-06-2021,2833.024706
534,17-06-2021,2976.90375
535,18-06-2021,NA
536,19-06-2021,NA
537,20-06-2021,NA
538,21-06-2021,3300.99
539,22-06-2021,2338.22
540,23-06-2021,6576.41
541,24-06-2021,NA
542,25-06-2021,3164.04
543,26-06-2021,NA
544,27-06-2021,2635
545,28-06-2021,2660.166667
546,29-06-2021,NA
547,30-06-2021,3577.13
548,01-07-2021,1636.76
549,02-07-2021,2297.156667
550,03-07-2021,6201.337143
551,04-07-2021,9573.77
552,05-07-2021,NA
553,06-07-2021,5810.054
554,07-07-2021,NA
555,08-07-2021,4361.54
556,09-07-2021,NA
557,10-07-2021,NA
558,11-07-2021,10172.01
559,12-07-2021,24042.22833
560,13-07-2021,4407.03
561,14-07-2021,3243.09
562,15-07-2021,NA
563,16-07-2021,3251.43
564,17-07-2021,NA
565,18-07-2021,2852.04
566,19-07-2021,4281.596667
567,20-07-2021,NA
568,21-07-2021,NA
569,22-07-2021,NA
570,23-07-2021,2267.74
571,24-07-2021,NA
572,25-07-2021,4424.37
573,26-07-2021,4571.013333
574,27-07-2021,3918.815
575,28-07-2021,NA
576,29-07-2021,4761.04
577,30-07-2021,NA
578,31-07-2021,NA
579,01-08-2021,1156.94
580,02-08-2021,2054.595
581,03-08-2021,5831.963333
582,04-08-2021,7435.9175
583,05-08-2021,5761.8
584,06-08-2021,4882.94
585,07-08-2021,NA
586,08-08-2021,NA
587,09-08-2021,NA
588,10-08-2021,NA
589,11-08-2021,11652.05
590,12-08-2021,19689.305
591,13-08-2021,5289.125
592,14-08-2021,3297.13
593,15-08-2021,5580
594,16-08-2021,5702.1
595,17-08-2021,NA
596,18-08-2021,5620.69
597,19-08-2021,6465.766
598,20-08-2021,4043.62
599,21-08-2021,NA
600,22-08-2021,3651.96
601,23-08-2021,NA
602,24-08-2021,5623.47
603,25-08-2021,4655.84
604,26-08-2021,NA
605,27-08-2021,NA
606,28-08-2021,NA
607,29-08-2021,6533.88
608,30-08-2021,6337.08
609,31-08-2021,NA
610,01-09-2021,948.64
611,02-09-2021,2197.19
612,03-09-2021,6341.133333
613,04-09-2021,8992.774
614,05-09-2021,5127.333333
615,06-09-2021,3730.500556
616,07-09-2021,NA
617,08-09-2021,3335.39
618,09-09-2021,NA
619,10-09-2021,NA
620,11-09-2021,NA
621,12-09-2021,17451.465
622,13-09-2021,7397.51
623,14-09-2021,5626.963333
624,15-09-2021,5766.345
625,16-09-2021,6054.785
626,17-09-2021,4101.523333
627,18-09-2021,3623.11
628,19-09-2021,4313.03875
629,20-09-2021,4336.493333
630,21-09-2021,4868.603333
631,22-09-2021,3063.416667
632,23-09-2021,NA
633,24-09-2021,3830.692
634,25-09-2021,NA
635,26-09-2021,5048.12
636,27-09-2021,NA
637,28-09-2021,6397.98
638,29-09-2021,5174.91
639,30-09-2021,NA
640,01-10-2021,NA
641,02-10-2021,3037.2175
642,03-10-2021,5597.88
643,04-10-2021,5720
644,05-10-2021,11880
645,06-10-2021,2975.14931
646,07-10-2021,3540.76
647,08-10-2021,NA
648,09-10-2021,8315.46
649,10-10-2021,12170.53
650,11-10-2021,11767.13
651,12-10-2021,14785.41
652,13-10-2021,NA
653,14-10-2021,NA
654,15-10-2021,3152.11
655,16-10-2021,4103.93
656,17-10-2021,NA
657,18-10-2021,6566.385
658,19-10-2021,7584.77
659,20-10-2021,NA
660,21-10-2021,NA
661,22-10-2021,NA
662,23-10-2021,NA
663,24-10-2021,3507.22
664,25-10-2021,7210.03
665,26-10-2021,NA
666,27-10-2021,4471.726667
667,28-10-2021,5564.1225
668,29-10-2021,7930.506667
669,30-10-2021,11891.03471
670,31-10-2021,13818.562
671,01-11-2021,NA
672,02-11-2021,2566.55
673,03-11-2021,3938.776
674,04-11-2021,5353
675,05-11-2021,10800
676,06-11-2021,3424.44
677,07-11-2021,4255.79
678,08-11-2021,5883.195
679,09-11-2021,NA
680,10-11-2021,4824.716
681,11-11-2021,11108.35
682,12-11-2021,15770
683,13-11-2021,18182.5
684,14-11-2021,13591.78333
685,15-11-2021,11505.955
686,16-11-2021,11774.27774
687,17-11-2021,11316.07667
688,18-11-2021,12820.12917
689,19-11-2021,20554.43667
690,20-11-2021,14659.29333
691,21-11-2021,19049.14667
692,22-11-2021,14002.122
693,23-11-2021,15829.31333
694,24-11-2021,20433.8
695,25-11-2021,19659.02929
696,26-11-2021,17345.87
697,27-11-2021,18170.57875
698,28-11-2021,20665.45118
699,29-11-2021,18736.62778
700,30-11-2021,21949.71143
701,01-12-2021,NA
702,02-12-2021,2394.206667
703,03-12-2021,7801.47
704,04-12-2021,7271.808571
705,05-12-2021,13585
706,06-12-2021,3094.16
707,07-12-2021,3198.505
708,08-12-2021,4023.62
709,09-12-2021,NA
710,10-12-2021,NA
711,11-12-2021,14065.99167
712,12-12-2021,14343.22727
713,13-12-2021,13940.2975
714,14-12-2021,12277.2
715,15-12-2021,13789.81
716,16-12-2021,14268.755
717,17-12-2021,16231.29625
718,18-12-2021,15947.50786
719,19-12-2021,28280
720,20-12-2021,17140.05556
721,21-12-2021,15849.64182
722,22-12-2021,21805.63125
723,23-12-2021,21363.49
724,24-12-2021,20634.6725
725,25-12-2021,16232.7325
726,26-12-2021,17866.49
727,27-12-2021,19688.16833
728,28-12-2021,16159.23667
729,29-12-2021,14315.344
730,30-12-2021,13860.2
731,31-12-2021,16903.56667
732,01-01-2022,13149.13
733,02-01-2022,11644.7525
734,03-01-2022,NA
735,04-01-2022,18673.21
736,05-01-2022,NA
737,06-01-2022,NA
738,07-01-2022,4282.72
739,08-01-2022,NA
740,09-01-2022,NA
741,10-01-2022,NA
742,11-01-2022,NA
743,12-01-2022,NA
744,13-01-2022,NA
745,14-01-2022,18754.88667
746,15-01-2022,17528.6
747,16-01-2022,15998.62333
748,17-01-2022,15264.46
749,18-01-2022,15730.74
750,19-01-2022,NA
751,20-01-2022,14371.274
752,21-01-2022,15527.83
753,22-01-2022,13999.1325
754,23-01-2022,12584.52889
755,24-01-2022,10311.51167
756,25-01-2022,12016.64636
757,26-01-2022,14773.04
758,27-01-2022,12908.55077
759,28-01-2022,13307.954
760,29-01-2022,NA
761,30-01-2022,12615.222
762,31-01-2022,13658.398
763,01-02-2022,16072.20333
764,02-02-2022,12542.49
765,03-02-2022,NA
766,04-02-2022,10087.5
767,05-02-2022,NA
768,06-02-2022,3830.23
769,07-02-2022,NA
770,08-02-2022,2145.35
771,09-02-2022,NA
772,10-02-2022,NA
773,11-02-2022,NA
774,12-02-2022,NA
775,13-02-2022,13612.38
776,14-02-2022,13137.845
777,15-02-2022,15727.385
778,16-02-2022,23551.99
779,17-02-2022,16052.755
780,18-02-2022,14158.18333
781,19-02-2022,15324.945
782,20-02-2022,15915.42
783,21-02-2022,17407.91143
784,22-02-2022,17534.262
785,23-02-2022,11668.25
786,24-02-2022,12356.67667
787,25-02-2022,32340
788,26-02-2022,13310.02
789,27-02-2022,13577.2
790,28-02-2022,15236.18
791,01-03-2022,20997.1325
792,02-03-2022,12906.05857
793,03-03-2022,14547.6
794,04-03-2022,17508.96
795,05-03-2022,NA
796,06-03-2022,NA
797,07-03-2022,NA
798,08-03-2022,4195.52
799,09-03-2022,NA
800,10-03-2022,NA
801,11-03-2022,2315.21
802,12-03-2022,NA
803,13-03-2022,NA
804,14-03-2022,43052
805,15-03-2022,11022.93
806,16-03-2022,12582
807,17-03-2022,12919.8
808,18-03-2022,13188
809,19-03-2022,6210.68
810,20-03-2022,NA
811,21-03-2022,29160
812,22-03-2022,NA
813,23-03-2022,11223.95
814,24-03-2022,18311.18
815,25-03-2022,NA
816,26-03-2022,13520
817,27-03-2022,NA
818,28-03-2022,13015
819,29-03-2022,11454
820,30-03-2022,NA
821,31-03-2022,13800
822,01-04-2022,27516.59667
823,02-04-2022,16945.5125
824,03-04-2022,NA
825,04-04-2022,9616.8
826,05-04-2022,NA
827,06-04-2022,NA
828,07-04-2022,NA
829,08-04-2022,NA
830,09-04-2022,NA
831,10-04-2022,NA
832,11-04-2022,NA
833,12-04-2022,3545.06
834,13-04-2022,NA
835,14-04-2022,NA
836,15-04-2022,NA
837,16-04-2022,NA
838,17-04-2022,NA
839,18-04-2022,NA
840,19-04-2022,NA
841,20-04-2022,NA
842,21-04-2022,NA
843,22-04-2022,10200
844,23-04-2022,NA
845,24-04-2022,NA
846,25-04-2022,9400
847,26-04-2022,NA
848,27-04-2022,NA
849,28-04-2022,NA
850,29-04-2022,7455
851,30-04-2022,NA
852,01-05-2022,17084.524
853,02-05-2022,16644.39
854,03-05-2022,11669.4375
855,04-05-2022,NA
856,05-05-2022,NA
857,06-05-2022,7771.46
858,07-05-2022,NA
859,08-05-2022,NA
860,09-05-2022,3170.07
861,10-05-2022,6702.52
862,11-05-2022,NA
863,12-05-2022,NA
864,13-05-2022,5153.24
865,14-05-2022,14605.77
866,15-05-2022,7749
867,16-05-2022,NA
868,17-05-2022,NA
869,18-05-2022,NA
870,19-05-2022,NA
871,20-05-2022,NA
872,21-05-2022,NA
873,22-05-2022,NA
874,23-05-2022,NA
875,24-05-2022,NA
876,25-05-2022,NA
877,26-05-2022,NA
878,27-05-2022,3620.34
879,28-05-2022,NA
880,29-05-2022,4797.635
881,30-05-2022,NA
882,31-05-2022,NA
883,01-06-2022,13718.302
884,02-06-2022,16618.31667
885,03-06-2022,NA
886,04-06-2022,NA
887,05-06-2022,28800
888,06-06-2022,4338.11
889,07-06-2022,2618.62
890,08-06-2022,NA
891,09-06-2022,NA
892,10-06-2022,2247.26
893,11-06-2022,NA
894,12-06-2022,NA
895,13-06-2022,15356.34
896,14-06-2022,NA
897,15-06-2022,3641.455
898,16-06-2022,4052.72
899,17-06-2022,NA
900,18-06-2022,3239.7
901,19-06-2022,NA
902,20-06-2022,NA
903,21-06-2022,NA
904,22-06-2022,2798.526667
905,23-06-2022,2882.35
906,24-06-2022,NA
907,25-06-2022,NA
908,26-06-2022,NA
909,27-06-2022,NA
910,28-06-2022,NA
911,29-06-2022,NA
912,30-06-2022,NA
913,01-07-2022,13507.14222
914,02-07-2022,22119.15714
915,03-07-2022,11870.01857
916,04-07-2022,10845
917,05-07-2022,NA
918,06-07-2022,NA
919,07-07-2022,NA
920,08-07-2022,4472.688333
921,09-07-2022,NA
922,10-07-2022,NA
923,11-07-2022,NA
924,12-07-2022,NA
925,13-07-2022,NA
926,14-07-2022,2513.28
927,15-07-2022,NA
928,16-07-2022,NA
929,17-07-2022,NA
930,18-07-2022,NA
931,19-07-2022,NA
932,20-07-2022,NA
933,21-07-2022,NA
934,22-07-2022,NA
935,23-07-2022,NA
936,24-07-2022,NA
937,25-07-2022,NA
938,26-07-2022,NA
939,27-07-2022,NA
940,28-07-2022,NA
941,29-07-2022,NA
942,30-07-2022,NA
943,31-07-2022,NA
944,01-08-2022,14796.71
945,02-08-2022,15973.43333
946,03-08-2022,9837.13
947,04-08-2022,14220
948,05-08-2022,NA
949,06-08-2022,4113.44
950,07-08-2022,NA
951,08-08-2022,4410.95
952,09-08-2022,NA
953,10-08-2022,NA
954,11-08-2022,NA
955,12-08-2022,NA
956,13-08-2022,NA
957,14-08-2022,NA
958,15-08-2022,NA
959,16-08-2022,NA
960,17-08-2022,NA
961,18-08-2022,NA
962,19-08-2022,NA
963,20-08-2022,NA
964,21-08-2022,NA
965,22-08-2022,NA
966,23-08-2022,NA
967,24-08-2022,1883.91
968,25-08-2022,1941.84
969,26-08-2022,4076.96
970,27-08-2022,NA
971,28-08-2022,NA
972,29-08-2022,3628.09
973,30-08-2022,NA
974,31-08-2022,NA
975,01-09-2022,13080.29375
976,02-09-2022,34697.86
977,03-09-2022,15120
978,04-09-2022,8759.23
979,05-09-2022,5378.86
980,06-09-2022,NA
981,07-09-2022,NA
982,08-09-2022,NA
983,09-09-2022,NA
984,10-09-2022,NA
985,11-09-2022,1670.07
986,12-09-2022,NA
987,13-09-2022,NA
988,14-09-2022,NA
989,15-09-2022,NA
990,16-09-2022,2473.62
991,17-09-2022,NA
992,18-09-2022,NA
993,19-09-2022,NA
994,20-09-2022,NA
995,21-09-2022,2246.11
996,22-09-2022,NA
997,23-09-2022,NA
998,24-09-2022,NA
999,25-09-2022,NA
1000,26-09-2022,NA
1001,27-09-2022,1724.07
1002,28-09-2022,5531.32
1003,29-09-2022,NA
1004,30-09-2022,NA
1005,01-10-2022,17903.995
1006,02-10-2022,NA
1007,03-10-2022,NA
1008,04-10-2022,13380
1009,05-10-2022,4570.97
1010,06-10-2022,NA
1011,07-10-2022,NA
1012,08-10-2022,3911.82
1013,09-10-2022,NA
1014,10-10-2022,3622.49
1015,11-10-2022,3161.36
1016,12-10-2022,NA
1017,13-10-2022,NA
1018,14-10-2022,NA
1019,15-10-2022,NA
1020,16-10-2022,NA
1021,17-10-2022,NA
1022,18-10-2022,2303.7
1023,19-10-2022,NA
1024,20-10-2022,NA
1025,21-10-2022,NA
1026,22-10-2022,2205.03
1027,23-10-2022,NA
1028,24-10-2022,NA
1029,25-10-2022,NA
1030,26-10-2022,3074.85
1031,27-10-2022,NA
1032,28-10-2022,NA
1033,29-10-2022,NA
1034,30-10-2022,NA
1035,31-10-2022,NA
1036,01-11-2022,16457.265
1037,02-11-2022,17704.76
1038,03-11-2022,12369.24
1039,04-11-2022,9143
1040,05-11-2022,NA
1041,06-11-2022,NA
1042,07-11-2022,NA
1043,08-11-2022,NA
1044,09-11-2022,NA
1045,10-11-2022,1964.59
1046,11-11-2022,3088.518
1047,12-11-2022,NA
1048,13-11-2022,NA
1049,14-11-2022,NA
1050,15-11-2022,NA
1051,16-11-2022,NA
1052,17-11-2022,NA
1053,18-11-2022,NA
1054,19-11-2022,NA
1055,20-11-2022,NA
