Dates,value,,,,,,
05-09-2020, 122.22 ,,,,,,
06-09-2020, 124.83 ,,,,,,
07-09-2020, 126.21 ,,,,,,
08-09-2020, 125.10 ,,,,,,
09-09-2020, 117.29 ,,,,,,
10-09-2020, 103.11 ,,,,,,
11-09-2020, 102.69 ,,,,,,
12-09-2020, 118.09 ,,,,,,
13-09-2020, 126.75 ,,,,,,
14-09-2020, 126.00 ,,,,,,
15-09-2020, 118.45 ,,,,,,
16-09-2020, 117.86 ,,,,,,
17-09-2020, 118.90 ,,,,,,
18-09-2020, 119.69 ,,,,,,
19-09-2020, 118.58 ,,,,,,
20-09-2020, 116.24 ,,,,,,
21-09-2020, 116.39 ,,,,,,
22-09-2020, 114.24 ,,,,,,
23-09-2020, 113.93 ,,,,,,
24-09-2020, 114.07 ,,,,,,
25-09-2020, 114.89 ,,,,,,
26-09-2020, 115.52 ,,,,,,
27-09-2020, 116.06 ,,,,,,
28-09-2020, 116.45 ,,,,,,
29-09-2020, 116.35 ,,,,,,
30-09-2020, 115.84 ,,,,,,
01-10-2020, 114.11 ,,,,,,
02-10-2020, 111.19 ,,,,,,
03-10-2020, 108.25 ,,,,,,
04-10-2020, 107.32 ,,,,,,
05-10-2020, 106.52 ,,,,,,
06-10-2020, 106.88 ,,,,,,
07-10-2020, 108.46 ,,,,,,
08-10-2020, 111.37 ,,,,,,
09-10-2020, 108.45 ,,,,,,
10-10-2020, 101.32 ,,,,,,
11-10-2020, 92.62 ,,,,,,
12-10-2020, 97.07 ,,,,,,
13-10-2020, 104.24 ,,,,,,
14-10-2020, 108.13 ,,,,,,
15-10-2020, 110.29 ,,,,,,
16-10-2020, 111.17 ,,,,,,
17-10-2020, 111.27 ,,,,,,
18-10-2020, 110.78 ,,,,,,
19-10-2020, 108.33 ,,,,,,
20-10-2020, 110.09 ,,,,,,
21-10-2020, 113.03 ,,,,,,
22-10-2020, 114.79 ,,,,,,
23-10-2020, 114.06 ,,,,,,
24-10-2020, 113.97 ,,,,,,
25-10-2020, 115.50 ,,,,,,
26-10-2020, 115.35 ,,,,,,
27-10-2020, 115.19 ,,,,,,
28-10-2020, 117.08 ,,,,,,
29-10-2020, 120.82 ,,,,,,
30-10-2020, 125.26 ,,,,,,
31-10-2020, 128.79 ,,,,,,
01-11-2020, 130.70 ,,,,,,
02-11-2020, 130.02 ,,,,,,
03-11-2020, 122.24 ,,,,,,
04-11-2020, 128.19 ,,,,,,
05-11-2020, 127.97 ,,,,,,
06-11-2020, 131.28 ,,,,,,
07-11-2020, 134.72 ,,,,,,
08-11-2020, 135.61 ,,,,,,
09-11-2020, 134.67 ,,,,,,
10-11-2020, 132.85 ,,,,,,
11-11-2020, 131.28 ,,,,,,
12-11-2020, 131.03 ,,,,,,
13-11-2020, 131.90 ,,,,,,
14-11-2020, 131.41 ,,,,,,
15-11-2020, 129.30 ,,,,,,
16-11-2020, 128.46 ,,,,,,
17-11-2020, 129.59 ,,,,,,
18-11-2020, 128.14 ,,,,,,
19-11-2020, 124.67 ,,,,,,
20-11-2020, 126.78 ,,,,,,
21-11-2020, 125.43 ,,,,,,
22-11-2020, 122.68 ,,,,,,
23-11-2020, 121.95 ,,,,,,
24-11-2020, 122.09 ,,,,,,
25-11-2020, 121.23 ,,,,,,
26-11-2020, 118.83 ,,,,,,
27-11-2020, 115.46 ,,,,,,
28-11-2020, 111.83 ,,,,,,
29-11-2020, 108.19 ,,,,,,
30-11-2020, 106.42 ,,,,,,
01-12-2020, 104.80 ,,,,,,
02-12-2020, 102.76 ,,,,,,
03-12-2020, 99.36 ,,,,,,
04-12-2020, 95.35 ,,,,,,
05-12-2020, 92.11 ,,,,,,
06-12-2020, 93.70 ,,,,,,
07-12-2020, 97.19 ,,,,,,
08-12-2020, 97.50 ,,,,,,
09-12-2020, 94.75 ,,,,,,
10-12-2020, 98.52 ,,,,,,
11-12-2020, 98.23 ,,,,,,
12-12-2020, 95.55 ,,,,,,
13-12-2020, 97.52 ,,,,,,
14-12-2020, 100.99 ,,,,,,
15-12-2020, 103.72 ,,,,,,
16-12-2020, 106.27 ,,,,,,
17-12-2020, 108.45 ,,,,,,
18-12-2020, 110.28 ,,,,,,
19-12-2020, 112.81 ,,,,,,
20-12-2020, 119.52 ,,,,,,
21-12-2020, 119.60 ,,,,,,
22-12-2020, 127.99 ,,,,,,
23-12-2020, 132.11 ,,,,,,
24-12-2020, 134.46 ,,,,,,
25-12-2020, 143.64 ,,,,,,
26-12-2020, 151.58 ,,,,,,
27-12-2020, 158.40 ,,,,,,
28-12-2020, 166.41 ,,,,,,
29-12-2020, 180.49 ,,,,,,
30-12-2020, 197.15 ,,,,,,
31-12-2020, 214.30 ,,,,,,
01-01-2021, 231.16 ,,,,,,
02-01-2021, 245.44 ,,,,,,
03-01-2021, 264.03 ,,,,,,
04-01-2021, 280.84 ,,,,,,
05-01-2021, 297.95 ,,,,,,
06-01-2021, 315.30 ,,,,,,
07-01-2021, 332.82 ,,,,,,
08-01-2021, 350.41 ,,,,,,
09-01-2021, 368.00 ,,,,,,
10-01-2021, 385.49 ,,,,,,
11-01-2021, 402.80 ,,,,,,
12-01-2021, 419.81 ,,,,,,
13-01-2021, 414.45 ,,,,,,
14-01-2021, 363.67 ,,,,,,
15-01-2021, 376.17 ,,,,,,
16-01-2021, 460.22 ,,,,,,
17-01-2021, 475.07 ,,,,,,
18-01-2021, 493.00 ,,,,,,
19-01-2021, 504.62 ,,,,,,
20-01-2021, 533.39 ,,,,,,
21-01-2021, 528.96 ,,,,,,
22-01-2021, 535.54 ,,,,,,
23-01-2021, 543.45 ,,,,,,
24-01-2021, 546.99 ,,,,,,
25-01-2021, 549.61 ,,,,,,
26-01-2021, 553.19 ,,,,,,
27-01-2021, 554.83 ,,,,,,
28-01-2021, 555.81 ,,,,,,
29-01-2021, 563.89 ,,,,,,
30-01-2021, 571.43 ,,,,,,
31-01-2021, 559.86 ,,,,,,
01-02-2021, 551.10 ,,,,,,
02-02-2021, 538.95 ,,,,,,
03-02-2021, 558.00 ,,,,,,
04-02-2021, 555.01 ,,,,,,
05-02-2021, 552.67 ,,,,,,
06-02-2021, 550.99 ,,,,,,
07-02-2021, 549.95 ,,,,,,
08-02-2021, 549.56 ,,,,,,
09-02-2021, 549.82 ,,,,,,
10-02-2021, 550.72 ,,,,,,
11-02-2021, 552.26 ,,,,,,
12-02-2021, 554.46 ,,,,,,
13-02-2021, 557.32 ,,,,,,
14-02-2021, 560.86 ,,,,,,
15-02-2021, 565.07 ,,,,,,
16-02-2021, 569.99 ,,,,,,
17-02-2021, 529.93 ,,,,,,
18-02-2021, 581.99 ,,,,,,
19-02-2021, 589.12 ,,,,,,
20-02-2021, 597.04 ,,,,,,
21-02-2021, 605.78 ,,,,,,
22-02-2021, 615.37 ,,,,,,
23-02-2021, 621.42 ,,,,,,
24-02-2021, 630.93 ,,,,,,
25-02-2021, 649.16 ,,,,,,
26-02-2021, 663.05 ,,,,,,
27-02-2021, 677.53 ,,,,,,
28-02-2021, 689.23 ,,,,,,
01-03-2021, 676.93 ,,,,,,
02-03-2021, 717.05 ,,,,,,
03-03-2021, 742.81 ,,,,,,
04-03-2021, 758.76 ,,,,,,
05-03-2021, 774.34 ,,,,,,
06-03-2021, 789.53 ,,,,,,
07-03-2021, 804.29 ,,,,,,
08-03-2021, 818.59 ,,,,,,
09-03-2021, 832.38 ,,,,,,
10-03-2021, 845.65 ,,,,,,
11-03-2021, 858.35 ,,,,,,
12-03-2021, 870.46 ,,,,,,
13-03-2021, 881.95 ,,,,,,
14-03-2021, 892.78 ,,,,,,
15-03-2021, 902.94 ,,,,,,
16-03-2021, 912.39 ,,,,,,
17-03-2021, 921.12 ,,,,,,
18-03-2021, 929.09 ,,,,,,
19-03-2021, 936.30 ,,,,,,
20-03-2021, 942.72 ,,,,,,
21-03-2021, 948.33 ,,,,,,
22-03-2021, 953.13 ,,,,,,
23-03-2021, 957.09 ,,,,,,
24-03-2021, 960.21 ,,,,,,
25-03-2021, 962.48 ,,,,,,
26-03-2021, 963.90 ,,,,,,
27-03-2021, 964.45 ,,,,,,
28-03-2021, 964.15 ,,,,,,
29-03-2021, 962.98 ,,,,,,
30-03-2021, 960.96 ,,,,,,
31-03-2021, 958.09 ,,,,,,
01-04-2021, 954.37 ,,,,,,
02-04-2021, 937.25 ,,,,,,
03-04-2021, 946.92 ,,,,,,
04-04-2021, 943.19 ,,,,,,
05-04-2021, 939.46 ,,,,,,
06-04-2021, 935.73 ,,,,,,
07-04-2021, 931.99 ,,,,,,
08-04-2021, 928.25 ,,,,,,
09-04-2021, 924.50 ,,,,,,
10-04-2021, 920.75 ,,,,,,
11-04-2021, 917.00 ,,,,,,
12-04-2021, 913.24 ,,,,,,
13-04-2021, 909.48 ,,,,,,
14-04-2021, 905.72 ,,,,,,
